,id,title,series,author,rating_count,review_count,number_of_pages,date_published,publisher,genre,isbn,description,awards,rating
6872,1223288,Soul Eater,Chronicles of Ancient Darkness,Michelle Paver,11322.0,341.0,276.0,2007.0,Orion Childrens,Fantasy,1,315,1,4.29
6873,2138127,De overgave,Single,Arthur Japin,3412.0,148.0,366.0,2007.0,De Arbeiderspers,Historical,1,1074,1,3.89
6874,748181,Ghosts of 42nd Street: A History of America's Most Infamous Block,Single,Anthony Bianco,74.0,7.0,400.0,2005.0,Harper Paperbacks,History,1,1339,0,3.72
6875,17292676,The Maze Runner Trilogy,The Maze Runner,James Dashner,8393.0,410.0,350.958041958042,2013.0,Delacorte Press,Young Adult,1,2060,0,4.19
6876,7989160,The Radleys,Single,Matt Haig,15698.0,2051.0,341.0,2010.0,Canongate Books Ltd,Fiction,1,320,2,3.57
6877,3916763,Girl in a Blue Dress,Single,Gaynor Arnold,2347.0,463.0,442.0,2008.0,Tindal Street,Historical,1,2762,2,3.56
6878,16137612,Ghost Hand,The PSS Chronicles,Ripley Patton,1039.0,284.0,372.0,2012.0,Ripley Patton,Fantasy,1,1130,1,3.89
6879,18807408,The Undertaking,Single,Audrey Magee,2834.0,516.0,291.0,2014.0,Atlantic Books,Historical,1,1330,2,3.72
6880,611560,Through Other Continents: American Literature Across Deep Time,Single,Wai Chee Dimock,40.0,5.0,264.0,2006.0,Princeton University Press,Nonfiction,1,1796,1,3.7
6881,357032,The City of Your Final Destination,Single,Peter    Cameron,1809.0,229.0,320.0,2003.0,Plume Books,Fiction,1,1327,2,3.84
6882,24819502,"Merry Christmas, Squirrels!",The Secret Life of Squirrels,Nancy     Rose,285.0,60.0,32.0,2015.0,"Little, Brown Books for Young Readers",Childrens,1,1086,0,4.1
6883,15810848,Deadly Forecast,Psychic Eye Mystery,Victoria Laurie,3071.0,252.0,384.0,2013.0,NAL,Mystery,1,1212,0,4.22
6884,15808287,Mrs. Lincoln's Dressmaker,Mary Todd Lincoln,Jennifer Chiaverini,26190.0,3638.0,368.0,2013.0,Dutton,Historical,1,1994,1,3.49
6885,25806522,The Shack,Single,Tom Holtslander,241.0,13.0,350.958041958042,2015.0,Dutton,None,0,381,0,3.07
6886,29405093,The Girl with the Lower Back Tattoo,Single,Amy Schumer,115761.0,8941.0,323.0,2016.0,Gallery Books,Nonfiction,1,1715,2,3.72
6887,16256798,The One Thing: The Surprisingly Simple Truth Behind Extraordinary Results,Single,Gary Keller,55637.0,3819.0,240.0,2013.0,Bard Press (TX),Business,1,191,1,4.08
6888,32451736,The Secret of Ventriloquism,Single,Jon Padgett,1418.0,264.0,201.0,2016.0,Dunhams Manor Press,Horror,0,1520,0,3.96
6889,1022433,The Kite Rider,Single,Geraldine McCaughrean,1421.0,217.0,212.0,2001.0,Oxford University Press,Historical,1,269,3,3.53
6891,24041443,We Never Asked for Wings,Single,Vanessa Diffenbaugh,18521.0,2271.0,320.0,2015.0,Ballantine Books,Fiction,1,1545,0,3.84
6892,34607044,Devotion,Why I Write,Patti Smith,8427.0,801.0,95.0,2017.0,Yale University Press,Nonfiction,1,1777,0,3.84
6893,20919223,Tango: Stories of Desire in Poetry,Single,Deborah Grace,2.0,1.0,160.0,2014.0,Createspace Independent Publishing Platform,None,1,1122,0,4.5
6894,41015249,Beren and Lúthien,Middle-earth Universe,J.R.R. Tolkien,11145.0,1291.0,321.0,2017.0,Houghton Mifflin Harcourt,Fantasy,0,2190,0,4.0
6895,25026169,1st Semester,White Knight Dom Academy,Lucian Bane,242.0,50.0,117.0,2015.0,Houghton Mifflin Harcourt,Erotica,0,1524,0,4.46
6896,22669180,Yes: My Improbable Journey to the Main Event of Wrestlemania,Single,Daniel   Bryan,2146.0,216.0,308.0,2015.0,St. Martin's Press,Nonfiction,1,1720,0,4.1
6897,35606041,A Little Hatred,The Age of Madness,Joe Abercrombie,22494.0,2215.0,480.0,2019.0,Orbit,Fantasy,1,1378,3,4.46
6898,12793708,"Little Dog, Lost",Single,Marion Dane Bauer,1268.0,227.0,208.0,2012.0,Atheneum Books for Young Readers,Poetry,1,1196,2,3.94
6899,7246644,Women Around the Messenger,Single,محمد قطب,380.0,40.0,364.0,2008.0,International Islamic Publishing House (IIPH),Religion,1,2082,0,4.28
6900,344674,Blacklist,V.I. Warshawski,Sara Paretsky,4274.0,308.0,415.0,2003.0,Hamish Hamilton,Mystery,1,1926,1,3.85
6901,22076,From a Buick 8,Single,Stephen King,62138.0,1994.0,356.0,2002.0,Scribner,Horror,1,2043,1,3.46
6902,281033,"The First Man-Made Man: The Story of Two Sex Changes, One Love Affair, and a Twentieth-Century Medical Revolution",Single,Pagan Kennedy,309.0,42.0,215.0,2007.0,Bloomsbury Publishing PLC,Nonfiction,1,1216,0,3.67
6903,1557034,William Mulholland and the Rise of Los Angeles,Single,Catherine Mulholland,74.0,8.0,436.0,2002.0,University of California Press,History,1,1812,0,3.7
6904,6380822,The Dark Divine,The Dark Divine,Bree Despain,39575.0,2526.0,372.0,2009.0,EgmontUSA,Young Adult,1,1378,0,3.79
6906,7747263,Misguided Angel,Blue Bloods,Melissa de la Cruz,38186.0,1282.0,265.0,2010.0,Hyperion,Paranormrueal,1,1491,0,3.93
6907,55663,Overtaken,Single,Alexei Sayle,280.0,20.0,224.0,2004.0,Sceptre,Fiction,1,1039,1,3.68
6908,6413939,Abandoned,Smoky Barrett,Cody McFadyen,6643.0,421.0,378.0,2009.0,Bantam,Thriller,1,1015,0,4.14
6909,7664345,The Mermaid's Mirror,Single,L.K. Madigan,4250.0,506.0,308.0,2010.0,Houghton Mifflin,Fantasy,1,1258,0,3.7
6910,2791536,Skinned,Cold Awakening,Robin Wasserman,12801.0,1033.0,368.0,2008.0,Simon Pulse,Young Adult,1,1065,0,3.54
6911,11593326,The Darlings in Love,The Darlings are Forever,Melissa Kantor,502.0,70.0,320.0,2012.0,"Little, Brown Books for Young Readers",Romance,1,867,0,3.73
6912,6933152,Web of Lies,Elemental Assassin,Jennifer Estep,22020.0,1023.0,400.0,2010.0,Pocket Books,Fantasy,1,1380,0,4.1
6913,16167446,Double Inferno,"The Sinful 7 of Delite, Texas",Dixie Lynn Dwyer,458.0,23.0,350.958041958042,2012.0,Siren Publishing,Erotica,1,1457,0,4.09
6914,6346773,Generosity: An Enhancement,Single,Richard Powers,2010.0,372.0,296.0,2009.0,"Farrar, Straus and Giroux",Fiction,1,1921,3,3.56
6915,2252747,Forrestal Lecture at the US Naval Academy,Single,Robert A. Heinlein,15.0,1.0,1.0,2007.0,Audio-Forum,None,1,761,0,4.47
6917,16085468,Toxic Heart,Mystic City,Theo Lawrence,2694.0,296.0,368.0,2014.0,Delacorte Press,Fantasy,1,1268,0,3.72
6918,515729,Beethoven Was One-Sixteenth Black and Other Stories,Single,Nadine Gordimer,571.0,101.0,192.0,2007.0,"Farrar, Straus and Giroux",Short Stories,1,1797,0,3.2
6920,17860199,The World of Divergent: The Path to Allegiant,Divergent,Veronica Roth,32814.0,1712.0,50.0,2013.0,Katherine Tegen Books,Fiction,1,871,0,3.96
6921,14582221,Escape from Camp 14,Single,Blaine Harden,65372.0,5543.0,350.958041958042,2012.0,Blackstone Audiobooks,Nonfiction,1,369,4,3.97
6922,5393773,Broken Angels,Takeshi Kovacs,Richard K. Morgan,34693.0,1575.0,544.0,2004.0,Del Rey,Science Fiction,1,1678,0,3.94
6923,7531478,Scars,Single,Cheryl Rainfield,14434.0,1129.0,248.0,2010.0,Westside Books,Young Adult,1,1446,2,4.16
6924,588369,A Place Called Here,Single,Cecelia Ahern,31934.0,1959.0,485.0,2012.0,HarperCollins,Womens Fiction-Chick Lit,1,2092,0,3.67
6925,16304482,There is No Light in Darkness,Darkness,Claire Contreras,14188.0,1455.0,252.0,2013.0,Claire Contreras,New Adult,0,1191,0,4.08
6927,73064,Natural Born Charmer,Chicago Stars,Susan Elizabeth Phillips,34371.0,1697.0,400.0,2007.0,William Morrow,Romance,1,2444,1,4.15
6928,1587356,Access To Power,Single,Robert  Ellis,1233.0,85.0,384.0,2001.0,Pinnacle,Mystery,1,1250,0,3.95
6930,7772781,The Dragon's Mark,Rogue Angel,Alex Archer,361.0,17.0,320.0,2010.0,Gold Eagle,Fantasy,1,950,0,3.82
6932,22642472,Stone Mattress: Nine Tales,Single,Margaret Atwood,21867.0,2636.0,273.0,2014.0,Nan A. Talese,Short Stories,1,1295,2,3.9
6933,23665660,Figure and Ground,Single,Steven M. Boker,1.0,0.0,92.0,2013.0,Blurb Inc.,None,0,53,0,3.0
6934,459460,Doctor Who: I Am a Dalek,Doctor Who: Quick Reads,Gareth Roberts,1602.0,136.0,105.0,2006.0,BBC Books,Media Tie In,1,1237,0,3.77
6935,295323,Spirit Walker,Chronicles of Ancient Darkness,Michelle Paver,14397.0,472.0,356.0,2007.0,Katherine Tegen Books,Fantasy,1,1277,0,4.28
6936,19271017,My Story: The Blitz,My Story: Girls,Vince Cross,677.0,53.0,160.0,2012.0,Chicken House,Historical,1,978,0,3.61
6937,19819021,The Demon Trapper's Daughter: A Demon Trappers Novel,The Demon Trappers,Jana Oliver,18197.0,1510.0,368.0,2011.0,St. Martin's Griffin,Young Adult,1,1586,0,3.99
6938,192116,The Place You Love Is Gone: Progress Hits Home,Single,Melissa Holbrook Pierson,78.0,17.0,208.0,2007.0,W. W. Norton  Company,Nonfiction,1,1056,0,3.51
6939,7099389,The Burning Wire,Lincoln Rhyme,Jeffery Deaver,17831.0,950.0,414.0,2010.0,Simon & Schuster,Mystery,1,1959,0,4.04
6940,20706284,Ancillary Sword,Imperial Radch,Ann Leckie,46818.0,3584.0,359.0,2014.0,Orbit,Science Fiction,1,1283,5,4.06
6941,7157310,Rot & Ruin,Rot & Ruin,Jonathan Maberry,33508.0,3772.0,458.0,2010.0,Simon & Schuster Books For Young Readers,Horror,1,792,4,4.1
6942,462142,The Visible World,Single,Mark Slouka,1143.0,194.0,256.0,2007.0,Houghton Mifflin Harcourt,Fiction,1,1610,0,3.45
6943,26016306,Te retrouver,Single,Fabio Volo,835.0,64.0,363.0,2015.0,Michel Lafon,Fiction,1,1775,0,3.4
6944,22609354,The Dorito Effect: The Surprising New Truth About Food and Flavor,Single,Mark Schatzker,6265.0,999.0,259.0,2015.0,Simon  Schuster,Nonfiction,1,2140,1,4.02
6945,20814989,Half Wild,The Half Bad Trilogy,Sally Green,19150.0,2717.0,412.0,2015.0,Viking Juvenile,Fantasy,1,952,0,4.01
6946,7857552,The Financial Lives of the Poets,Single,Jess Walter,10171.0,1437.0,320.0,2010.0,Harper Perennial,Fiction,1,953,0,3.7
6947,73283,Juno & Juliet,Single,Julian Gough,667.0,78.0,288.0,2002.0,Anchor Books,Fiction,1,1308,0,3.45
6948,574955,"Abby Cooper, Psychic Eye",Psychic Eye Mystery,Victoria Laurie,13593.0,992.0,295.0,2004.0,Signet,Mystery,1,677,0,3.93
6949,8610510,"Undisputed: How to Become the World Champion in 1,372 Easy Steps",Single,Chris Jericho,3736.0,225.0,425.0,2011.0,Grand Central Publishing,Autobiography-Memoir,1,0,0,4.18
6950,2443516,An Autumn War,Long Price Quartet,Daniel Abraham,6558.0,279.0,366.0,2008.0,Tor Books,Fantasy,1,1573,1,4.03
6951,49706,The Runaway Quilt,Elm Creek Quilts,Jennifer Chiaverini,6905.0,564.0,336.0,2003.0,Plume,Fiction,1,345,0,4.13
6952,23281943,Deadly Design,Single,Debra Dockter,479.0,100.0,359.0,2015.0,G.P. Putnam's Sons,Young Adult,1,1459,0,3.87
6953,37650977,Paleo Sweets,Single,Kelsey Ale,8.0,2.0,173.0,2016.0,privately published,None,0,435,0,3.75
6954,13078266,Man Made: A Stupid Quest for Masculinity,Single,Joel Stein,1047.0,160.0,304.0,2012.0,Grand Central Publishing,Nonfiction,1,1456,0,3.76
6955,29370481,Killing the Rising Sun: How America Vanquished World War II Japan,Bill O'Reilly's Killing Series,Bill O'Reilly,16733.0,1700.0,323.0,2016.0,Henry Holt and Co.,History,1,1686,1,4.34
6956,6648331,Revolution 1989: The Fall of the Soviet Empire,Single,Victor Sebestyen,1065.0,105.0,451.0,2009.0,George Weidenfeld & Nicolson Ltd.,History,1,167,0,4.34
6957,17286827,Jacob's Oath,Single,Martin Fletcher,892.0,115.0,323.0,2013.0,Thomas Dunne Books,Historical,1,1148,0,3.87
6958,28494,Instant Light: Tarkovsky Polaroids,Single,Andrei Tarkovsky,594.0,31.0,135.0,2006.0,Thames  Hudson,Art,1,1153,0,4.42
6959,42068914,Enlivenment: Toward a Poetics for the Anthropocene,Untimely Meditations,Andreas Weber,28.0,4.0,208.0,2019.0,MIT Press,Philosophy,1,1957,0,4.21
6960,30840107,Undying: A Love Story,Single,Michel Faber,727.0,138.0,145.0,2016.0,Canongate Books,Poetry,1,923,0,4.33
6961,22857670,La réunification des deux Corées,Single,Joël Pommerat,64.0,0.0,64.0,2013.0,Actes Sud,None,1,0,2,3.94
6962,23733909,Ruin Box Set 1-3,Ruin,Lucian Bane,160.0,28.0,357.0,2014.0,Luican Bane,Romance,0,784,0,4.13
6963,44304913,The Familiars,Single,Stacey Halls,30201.0,3472.0,448.0,2019.0,Zaffre,Historical,1,1597,1,3.89
6964,43514018,Inland,Single,Téa Obreht,10826.0,2083.0,384.0,2019.0,Random House,Fiction,1,1711,1,3.44
6965,40275288,The Priory of the Orange Tree,Single,Samantha Shannon,72727.0,13614.0,848.0,2019.0,Bloomsbury Publishing,Fantasy,0,1125,2,4.22
6966,49247242,Ring Shout,Single,P. Djèlí Clark,14229.0,2944.0,176.0,2020.0,St Martin's Press,Fantasy,1,1079,7,4.1
6967,295710,"In Our Hearts We Were Giants: The Remarkable Story of the Lilliput Troupe, a Dwarf Family's Survival of the Holocaust",Single,Yehuda Koren,546.0,65.0,320.0,2005.0,Da Capo Press,War,1,1676,0,4.07
6969,1240548,Happyslapped by a Jellyfish: The Words of Karl Pilkington,Single,Karl Pilkington,3710.0,266.0,220.0,2007.0,Dorling Kindersley,Nonfiction,1,603,0,3.94
6970,1540218,Love Lessons,Single,Jacqueline Wilson,5705.0,324.0,264.0,2005.0,Doubleday UK,Childrens,1,1388,0,3.57
6972,557405,Split Second,Maggie O'Dell,Alex Kava,8137.0,341.0,416.0,2002.0,MIRA,Mystery,1,1636,0,4.08
6973,2871364,The Darker Side,Smoky Barrett,Cody McFadyen,6427.0,373.0,464.0,2008.0,Bantam,Thriller,1,2116,0,4.12
6975,6570431,The Man in the Wooden Hat,Old Filth,Jane Gardam,6221.0,866.0,233.0,2009.0,Europa Editions,Fiction,1,1669,1,4.06
6976,6061545,Dead Tomorrow,Roy Grace,Peter James,8105.0,411.0,500.0,2009.0,MacMillan,Mystery,1,1480,1,4.2
6977,8428049,The Darlings are Forever,The Darlings are Forever,Melissa Kantor,746.0,106.0,352.0,2011.0,"Little, Brown Books for Young Readers",Young Adult,1,1306,0,3.72
6978,2281814,The Iron Hunt,Hunter Kiss,Marjorie M. Liu,5757.0,423.0,305.0,2008.0,Ace Books,Fantasy,1,1339,0,3.61
6979,8662836,Chain Reaction,Perfect Chemistry,Simone Elkeles,61830.0,2805.0,310.0,2011.0,Bloomsbury USA Childrens,Romance,1,1132,1,4.1
6980,17185540,Double Infiltration,"The Sinful 7 of Delite, Texas",Dixie Lynn Dwyer,357.0,13.0,350.958041958042,2013.0,Siren Publishing,Erotica,1,1408,0,4.2
6981,59306,"Cuentos Chinos: El engaño de Washington, la mentira populista y la esperanza de América Latina",Single,Andrés Oppenheimer,862.0,49.0,352.0,2005.0,Sudamericana,Literature,1,1829,0,3.88
6982,347,Off the Main Sequence: The Other Science Fiction Stories of Robert A. Heinlein,Single,Robert A. Heinlein,274.0,23.0,738.0,2005.0,Science Fiction Book Club,Science Fiction,1,1789,0,4.0
6983,346087,Captain's Fury,Codex Alera,Jim Butcher,66041.0,1297.0,451.0,2007.0,Ace Books,Fantasy,1,361,0,4.31
6984,129788,The Other Side of You,Single,Salley Vickers,1348.0,170.0,262.0,2007.0,Farrar Straus Giroux,Fiction,1,1680,0,3.79
6985,15860,State of Fear,Single,Michael Crichton,84287.0,3368.0,672.0,2005.0,Avon,Fiction,0,1478,0,3.71
6986,1317181,"Harry Potter and the Order of the Phoenix (Harry Potter, #5, Part 1)",Single,J.K. Rowling,155444.0,715.0,412.0,2003.0,BBC Audiobooks,Fantasy,1,1078,0,4.62
6987,18080921,Four: The Initiate,Divergent,Veronica Roth,24145.0,698.0,65.0,2014.0,Katherine Tegen Books,Young Adult,1,559,0,4.18
6988,6658542,Woken Furies,Takeshi Kovacs,Richard K. Morgan,29288.0,1042.0,544.0,2005.0,Del Rey,Science Fiction,1,2208,0,4.02
6989,16101126,The Moon and More,Single,Sarah Dessen,37675.0,3404.0,435.0,2013.0,Viking Books for Young Readers,Young Adult,1,1478,1,3.63
6990,6609549,"By the Time You Read This, I'll Be Dead",Single,Julie Anne Peters,22038.0,1970.0,200.0,2010.0,"Little, Brown Books for Young Readers",Young Adult,1,1209,1,3.86
6991,2410506,Thanks for the Memories,Single,Cecelia Ahern,41724.0,2296.0,373.0,2008.0,HarperCollins,Womens Fiction-Chick Lit,1,1190,0,3.7
6992,7983832,Khan: Empire of Silver,Conqueror,Conn Iggulden,12677.0,460.0,387.0,2010.0,Delacorte Press,Historical,1,2457,0,4.34
6993,12933642,The Woman Who Wasn't There: The True Story of an Incredible Deception,Single,Robin Gaby Fisher,2743.0,503.0,304.0,2012.0,Atria Books,Nonfiction,1,1798,1,3.76
6994,15980171,From Ashes,From Ashes,Molly McAdams,27440.0,1652.0,416.0,2012.0,William Morrow Paperbacks,New Adult,1,1411,0,4.12
6995,6266907,Alex Cross's Trial,Alex Cross,James Patterson,25549.0,1709.0,380.0,2009.0,"Little, Brown and Company",Mystery,1,1575,0,3.96
6996,15861548,"Our Aesthetic Categories: Zany, Cute, Interesting",Single,Sianne Ngai,213.0,31.0,333.0,2012.0,Harvard University Press,Philosophy,1,2097,1,4.33
6997,8863775,The Ruling Class: How They Corrupted America and What We Can Do About It,Single,Angelo M. Codevilla,210.0,32.0,160.0,2010.0,Beaufort Books,Politics,1,1499,0,4.21
6998,10439703,Aloha from Hell,Sandman Slim,Richard Kadrey,16129.0,695.0,438.0,2011.0,Harper Voyager,Fantasy,1,1037,0,4.03
6999,6467172,Savage Dawn,Savage,Cassie Edwards,159.0,11.0,284.0,2009.0,Leisure Books,Romance,1,40,0,4.25
7000,26286,The Protégé,Christian Gillette,Stephen W. Frey,1125.0,46.0,384.0,2006.0,Fawcett Books,Fiction,1,874,0,3.9
7001,8539035,Phantom Prospect,Rogue Angel,Alex Archer,331.0,16.0,320.0,2010.0,Gold Eagle,Fantasy,1,1201,0,3.68
7002,8167094,The Hidden Reality: Parallel Universes and the Deep Laws of the Cosmos,Single,Brian Greene,17972.0,760.0,384.0,2011.0,Knopf,Science,1,2190,1,4.09
7003,12105291,"Batman: The Black Glove, Deluxe Edition",Batman (1940-2011),Grant Morrison,1521.0,151.0,384.0,2012.0,DC Comics,Sequential Art,1,981,0,3.76
7004,10465290,Sagen om de japanske dræbergardiner,Spøgelseslinien,Dennis Jürgensen,122.0,4.0,173.0,2003.0,Tellerup,Literature,1,849,0,3.9
7005,4926603,The Bog Baby,The Bog Baby,Jeanne Willis,494.0,103.0,29.0,2008.0,Puffin,Childrens,1,829,0,4.17
7006,1596309,We Want Real Food: Why Our Food is Deficient in Minerals and Nutrients - and What We Can Do About it,Single,Graham Harvey,43.0,5.0,256.0,2006.0,Constable,Food and Drink,1,1950,0,3.98
7007,292212,"In Black and White: The Life of Sammy Davis, Jr.",Single,Wil Haygood,136.0,29.0,528.0,2003.0,Knopf,Autobiography-Memoir,1,3198,1,3.99
7008,93808,The Cold Moon,Lincoln Rhyme,Jeffery Deaver,18067.0,857.0,416.0,2006.0,Simon & Schuster,Mystery,1,1686,2,4.05
7009,20360301,The Maze Runner Series  (The Maze Runner #1-4),Single,James Dashner,14160.0,426.0,1390.0,2010.0,Delacorte Press,Young Adult,1,1139,0,4.23
7010,156780,Schild's Ladder,Single,Greg Egan,3244.0,221.0,352.0,2004.0,Eos,Science Fiction,1,1214,0,3.94
7012,8030224,"Dreaming in Chinese: Mandarin Lessons in Life, Love, And Language",Single,Deborah Fallows,2018.0,375.0,208.0,2010.0,Walker Books,Nonfiction,1,1812,0,3.62
7013,1470281,"Mes amis, mes amours",Single,Marc Levy,3815.0,167.0,352.0,2007.0,Pocket,Cultural,1,908,0,3.48
7014,5522977,Whispered Lies,B.A.D. Agency,Sherrilyn Kenyon,3137.0,129.0,390.0,2009.0,Pocket Books,Romance,1,1826,0,4.08
7015,74856,Desert Blood: The Juarez Murders,Single,Alicia Gaspar De Alba,493.0,53.0,346.0,2005.0,Arte Publico Press,Fiction,1,1931,1,3.97
7016,23361016,Half Lies,The Half Bad Trilogy,Sally Green,2772.0,467.0,72.0,2014.0,Viking Books for Young Readers,Fantasy,0,814,0,3.8
7017,585261,Infernal Devices,Mortal Engines Quartet,Philip Reeve,14125.0,839.0,336.0,2006.0,Point,Young Adult,1,1065,0,3.89
7018,7440139,Spies of the Balkans,Night Soldiers,Alan Furst,5529.0,652.0,268.0,2010.0,Random House,Historical,1,2208,0,3.91
7019,21035657,"Goodbye, Piccadilly: War at Home, 1914",War at Home,Cynthia Harrod-Eagles,705.0,104.0,392.0,2015.0,Sphere,Historical,1,1489,0,3.82
7020,17342826,Torsdagsänkorna,Single,Claudia Piñeiro,2806.0,310.0,304.0,2012.0,Leopard Förlag,Fiction,1,1097,2,3.52
7021,574963,Better Read Than Dead,Psychic Eye Mystery,Victoria Laurie,7742.0,433.0,296.0,2005.0,Signet,Mystery,1,757,0,4.0
7022,17364379,Bilješke jedne gimnazijalke,Single,Nada Mihelčić,229.0,23.0,310.0,2010.0,Naklada Ljevak,Young Adult,1,1018,0,4.1
7023,81551,The Sugar Camp Quilt,Elm Creek Quilts,Jennifer Chiaverini,5658.0,439.0,336.0,2006.0,Simon  Schuster,Fiction,1,1275,0,4.08
7024,19193475,Theory of a Tramp,Single,Pamela Caves,13.0,1.0,7.0,2011.0,Simon  Schuster,None,0,249,0,3.46
7025,15808849,"The Squared Circle: Life, Death, and Professional Wrestling",Single,David    Shoemaker,1936.0,196.0,390.0,2013.0,Avery,Nonfiction,1,2263,0,3.97
7026,11421775,Wild Thing,Peter Brown,Josh Bazell,3274.0,559.0,388.0,2012.0,Reagan Arthur Books,Fiction,1,1034,0,3.34
7027,35053980,Killing November,Killing November,Adriana Mather,6388.0,1100.0,368.0,2019.0,Knopf Books for Young Readers,Mystery,1,1193,2,4.18
7028,349602,On Suicide Bombing,Single,Talal Asad,330.0,32.0,144.0,2007.0,Columbia University Press,Nonfiction,1,2149,0,3.97
7029,6627835,The Wives of Henry Oades,Single,Johanna Moran,2797.0,550.0,367.0,2010.0,Ballantine Books,Historical,1,1825,1,3.6
7030,9143505,"Φιλοσοφία, ηθική και θρησκεία",Single,Mikhail Bakunin,21.0,1.0,187.0,2006.0,Πανοπτικόν,None,1,1281,0,3.9
7031,34397277,Spring Garden,Single,Tomoka Shibasaki,819.0,171.0,161.0,2017.0,Pushkin Press,Cultural,0,1680,1,3.3
7032,607466,The Curse of the Gloamglozer,The Edge Chronicles: The Quint Saga,Paul Stewart,7252.0,198.0,370.0,2005.0,David Fickling Books,Fantasy,1,1298,0,4.11
7033,36236144,The Lies That Bind: Rethinking Identity,Single,Kwame Anthony Appiah,1358.0,208.0,256.0,2018.0,Liveright,Philosophy,1,2481,0,3.86
7034,9635657,Tales from a Not-So-Talented Pop Star,Dork Diaries,Rachel Renée Russell,40674.0,1258.0,320.0,2011.0,Aladdin,Childrens,0,312,0,4.29
7035,20949617,The BreakBeat Poets: New American Poetry in the Age of Hip-Hop,BreakBeat Poets,Kevin Coval,507.0,57.0,376.0,2015.0,Haymarket Books,Poetry,1,1497,0,4.33
7036,34275234,Mr. Dickens and His Carol,Single,Samantha Silva,9057.0,1861.0,271.0,2017.0,Flatiron Books,Historical,1,633,0,3.8
7037,37976541,Bad Blood: Secrets and Lies in a Silicon Valley Startup,Single,John Carreyrou,208141.0,18319.0,339.0,2018.0,Knopf Publishing Group,Nonfiction,1,1800,3,4.38
7038,42036589,Gideon the Ninth,The Locked Tomb,Tamsyn Muir,59366.0,11105.0,448.0,2019.0,Tor.com,Fantasy,1,1793,7,4.2
7039,57210673,The Nameless Ones,Charlie Parker,John Connolly,1341.0,167.0,432.0,2021.0,Atria/Emily Bestler Books,Thriller,1,1107,0,4.38
7040,1357127,The Life of the Skies,Single,Jonathan Rosen,259.0,62.0,324.0,2008.0,Farrar Straus Giroux,Animals,1,1735,0,3.71
7041,23537,Doctors from Hell: The Horrific Account of Nazi Experiments on Humans,Single,Vivien Spitz,1894.0,132.0,318.0,2005.0,Sentient Publications,History,1,1481,0,3.94
7042,390302,The Soul Catcher,Maggie O'Dell,Alex Kava,6257.0,263.0,307.0,2003.0,MIRA,Mystery,1,533,0,3.99
7043,184794,The Face of Death,Smoky Barrett,Cody McFadyen,7848.0,510.0,452.0,2007.0,Bantam,Thriller,1,2075,1,4.25
7044,2734278,Lucky,Avery Sisters Trilogy,Rachel Vail,1905.0,232.0,233.0,2008.0,Harper Teen,Young Adult,1,1604,0,3.42
7045,2656912,Meeting Him in the Wilderness: A True Story of Adventure and Faith,Single,Lois E. Olson,11.0,4.0,244.0,2004.0,iUniverse,None,1,1505,0,4.36
7046,284295,Thinner Than Thou,Single,Kit Reed,394.0,53.0,336.0,2005.0,Tor Books,Fiction,1,2042,1,3.17
7047,989583,Not Dead Enough,Roy Grace,Peter James,10351.0,546.0,496.0,2007.0,Macmillan,Mystery,1,1145,1,4.13
7049,1966205,Time Spike,Time Spike,Eric Flint,774.0,59.0,467.0,2008.0,Baen,Science Fiction,1,1339,0,3.68
7050,6391377,Galileo's Dream,Single,Kim Stanley Robinson,2685.0,376.0,578.0,2009.0,Harper Voyager,Science Fiction,1,1231,1,3.55
7051,8459594,"Blood, Bones, and Butter: The Inadvertent Education of a Reluctant Chef",Single,Gabrielle Hamilton,33296.0,3922.0,291.0,2011.0,Random House,Food and Drink,1,1300,3,3.75
7052,2354897,Outward Bound,Single,Robert A. Heinlein,398.0,6.0,586.0,2006.0,Science Fiction Book Club,Science Fiction,1,2329,0,4.01
7053,133664,Academ's Fury,Codex Alera,Jim Butcher,68678.0,1831.0,702.0,2010.0,Ace,Fantasy,1,1235,0,4.22
7054,8596,"Talk to the Hand: The Utter Bloody Rudeness of the World Today, or Six Good Reasons to Stay Home and Bolt the Door",Single,Lynne Truss,3362.0,510.0,206.0,2005.0,Gotham Books,Nonfiction,1,1417,0,3.33
7055,13538507,No Time Like the Present,Single,Nadine Gordimer,556.0,127.0,432.0,2012.0,"Farrar, Straus and Giroux",Fiction,1,1905,0,3.21
7056,18080923,The Traitor,Divergent,Veronica Roth,18088.0,628.0,48.0,2014.0,Katherine Tegen Books,Young Adult,1,364,0,4.16
7057,17198849,The Supremes at Earl's All-You-Can-Eat,The Supremes,Edward Kelsey Moore,11902.0,2195.0,350.958041958042,2013.0,Random House,Fiction,1,1300,0,3.97
7058,17978680,Unteachable,Single,Leah Raeder,22252.0,3508.0,268.0,2013.0,Velvet Pony Press,Fiction,1,1660,1,3.77
7059,21112453,"John Green the Collection: Looking for Alaska / An Abundance of Katherines / Paper Towns / Will Grayson, Will Grayson / The Fault in Our Stars",Single,John Green,3181.0,63.0,960.0,2013.0,Penguin,Fiction,1,317,0,4.5
7060,5070839,The Program Era: Postwar Fiction and the Rise of Creative Writing,Single,Mark McGurl,161.0,24.0,466.0,2009.0,Harvard University Press,Nonfiction,1,1735,1,3.88
